,Date,Open,High,Low,Close,(High-Low),(Open-Close)
427,2021-02-09,12954.85,13013.10,12771.05,12812.80,242.05,142.05
428,2021-02-08,13039.55,13118.70,12907.25,12971.00,211.45,68.55
429,2021-02-05,12812.75,13041.00,12669.60,12950.65,371.40,-137.90
430,2021-02-04,12772.25,12866.55,12661.90,12739.05,204.65,33.20
431,2021-02-03,12468.05,12899.80,12445.60,12706.65,454.20,-238.60
432,2021-02-02,12228.30,12416.30,12125.35,12361.55,290.95,-133.25
433,2021-02-01,12212.20,12218.75,11934.25,12103.55,284.50,108.65
434,2021-01-29,12467.85,12482.55,12101.45,12170.25,381.10,297.60
435,2021-01-28,12331.75,12513.40,12213.60,12395.95,299.80,-64.20
436,2021-01-27,12764.50,12764.50,12403.80,12495.90,360.70,268.60
437,2021-01-25,12604.60,12867.85,12390.55,12756.75,477.30,-152.15
438,2021-01-22,12670.00,12700.50,12468.75,12542.10,231.75,127.90
439,2021-01-21,12967.10,12967.10,12655.55,12697.15,311.55,269.95
440,2021-01-20,12919.00,12992.90,12862.40,12881.20,130.50,37.80
441,2021-01-19,12714.95,12914.50,12699.20,12866.05,215.30,-151.10
442,2021-01-18,13000.80,13013.45,12592.80,12653.50,420.65,347.30
443,2021-01-15,13262.05,13268.55,12946.80,13014.25,321.75,247.80
444,2021-01-14,13140.40,13278.60,13020.30,13232.55,258.30,-92.15
445,2021-01-13,13285.95,13304.75,12994.25,13122.55,310.50,163.40
446,2021-01-12,13445.65,13476.80,13220.05,13244.70,256.75,200.95
447,2021-01-11,13315.45,13423.80,13222.80,13412.35,201.00,-96.90
448,2021-01-08,13141.00,13298.15,13104.05,13271.55,194.10,-130.55
449,2021-01-07,13168.45,13200.25,13010.35,13060.75,189.90,107.70
450,2021-01-06,13181.00,13205.65,12965.65,13118.10,240.00,62.90
451,2021-01-05,13148.05,13247.05,13073.00,13166.35,174.05,-18.30
452,2021-01-04,13085.30,13186.55,13028.20,13149.80,158.35,-64.50
453,2021-01-01,12933.10,13045.55,12875.55,13001.95,170.00,-68.85
454,2020-12-31,12829.75,12986.45,12797.95,12915.90,188.50,-86.15
455,2020-12-30,12898.60,12898.60,12753.85,12823.90,144.75,74.70
456,2020-12-29,12932.30,13006.20,12802.85,12843.90,203.35,88.40
457,2020-12-28,12989.40,12995.20,12842.55,12874.35,152.65,115.05
458,2020-12-24,12815.90,12943.20,12694.55,12908.95,248.65,-93.05
459,2020-12-23,12558.05,12781.55,12481.35,12753.25,300.20,-195.20
460,2020-12-22,12328.55,12592.45,12020.70,12550.95,571.75,-222.40
461,2020-12-21,12752.00,12869.70,11949.60,12278.15,920.10,473.85
