,Date,Open,High,Low,Close,(High-Low),(Open-Close)
226,2021-12-03,23543.65,23665.30,23206.65,23258.35,458.65,285.30
227,2021-12-02,23172.55,23541.85,23110.95,23491.60,430.90,-319.05
228,2021-12-01,22817.95,23169.55,22718.75,23110.80,450.80,-292.85
229,2021-11-30,23070.45,23429.35,22709.95,22823.45,719.40,247.00
230,2021-11-29,23207.75,23371.80,22829.55,23052.15,542.25,155.60
231,2021-11-26,23869.25,23942.10,23254.80,23349.40,687.30,519.85
232,2021-11-25,23744.05,24298.65,23587.60,24218.25,711.05,-474.20
233,2021-11-24,23646.60,23967.15,23580.10,23650.05,387.05,-3.45
234,2021-11-23,22914.50,23622.50,22849.60,23586.95,772.90,-672.45
235,2021-11-22,23713.80,23754.95,22973.55,23118.30,781.40,595.50
236,2021-11-18,23842.40,23898.95,23554.60,23794.35,344.35,48.05
237,2021-11-17,23880.45,24082.45,23774.20,23837.90,308.25,42.55
238,2021-11-16,24298.35,24308.90,23856.10,23944.65,452.80,353.70
239,2021-11-15,24359.05,24453.45,24160.50,24268.85,292.95,90.20
240,2021-11-12,24076.20,24245.35,23962.50,24209.30,282.85,-133.10
241,2021-11-11,23908.15,24005.55,23803.60,23894.75,201.95,13.40
242,2021-11-10,23932.65,24093.25,23836.60,24041.30,256.65,-108.65
243,2021-11-09,23963.70,24062.85,23853.10,24004.30,209.75,-40.60
244,2021-11-08,23827.25,23975.00,23564.80,23938.80,410.20,-111.55
245,2021-11-04,23648.35,23723.65,23551.30,23584.05,172.35,64.30
246,2021-11-03,23440.75,23609.20,23284.75,23489.45,324.45,-48.70
247,2021-11-02,23618.75,23707.55,23394.45,23421.70,313.10,197.05
248,2021-11-01,23415.80,23573.10,23176.10,23504.50,397.00,-88.70
249,2021-10-29,23381.15,23633.60,22974.35,23236.10,659.25,145.05
250,2021-10-28,24029.50,24161.35,23512.40,23580.85,648.95,448.65
251,2021-10-27,24402.05,24474.10,24091.90,24184.85,382.20,217.20
252,2021-10-26,24247.40,24439.10,24204.30,24372.45,234.80,-125.05
253,2021-10-25,24524.25,24540.65,23933.25,24160.20,607.40,364.05
254,2021-10-22,24381.05,24509.40,24094.65,24280.50,414.75,100.55
255,2021-10-21,24649.25,24682.90,24162.85,24306.40,520.05,342.85
256,2021-10-20,24790.00,24798.15,24257.20,24381.85,540.95,408.15
257,2021-10-19,25334.25,25343.50,24704.15,24785.65,639.35,548.60
258,2021-10-18,25010.75,25293.95,24894.85,25148.70,399.10,-137.95
259,2021-10-14,24730.60,24826.45,24658.55,24766.35,167.90,-35.75
260,2021-10-13,24367.95,24743.00,24296.10,24604.40,446.90,-236.45
261,2021-10-12,24230.45,24321.60,23987.75,24265.95,333.85,-35.50
262,2021-10-11,24132.25,24334.40,24105.85,24161.55,228.55,-29.30
263,2021-10-08,23948.35,24028.55,23721.65,23902.30,306.90,46.05
264,2021-10-07,24187.75,24187.75,23779.80,23804.40,407.95,383.35
265,2021-10-06,24210.45,24405.15,23828.30,23898.00,576.85,312.45
266,2021-10-05,23451.80,24031.70,23429.55,24006.15,602.15,-554.35
267,2021-10-04,23222.05,23382.80,23054.10,23334.60,328.70,-112.55
268,2021-10-01,22827.70,23136.70,22764.25,23000.20,372.45,-172.50
269,2021-09-30,22920.90,22956.30,22678.85,22858.55,277.45,62.35
270,2021-09-29,22441.30,22914.25,22313.55,22864.55,600.70,-423.25
271,2021-09-28,22111.45,22528.90,22060.55,22449.35,468.35,-337.90
272,2021-09-27,21841.00,22034.15,21758.15,22006.05,276.00,-165.05
273,2021-09-24,21979.85,21993.65,21664.90,21716.45,328.75,263.40
274,2021-09-23,21634.10,21934.65,21622.30,21893.25,312.35,-259.15
275,2021-09-22,21394.30,21576.30,21369.90,21499.25,206.40,-104.95
276,2021-09-21,21213.50,21403.95,21126.35,21324.50,277.60,-111.00
277,2021-09-20,21236.05,21442.70,21115.30,21213.45,327.40,22.60
278,2021-09-17,21768.85,21785.30,21300.95,21444.65,484.35,324.20
279,2021-09-16,21440.50,21694.50,21329.95,21665.25,364.55,-224.75
280,2021-09-15,21068.40,21396.95,21065.95,21350.65,331.00,-282.25
281,2021-09-14,21040.60,21179.15,20983.35,21034.90,195.80,5.70
282,2021-09-13,21200.65,21200.65,20893.55,20988.60,307.10,212.05
283,2021-09-09,21008.45,21186.10,20959.55,21148.35,226.55,-139.90
284,2021-09-08,20871.20,21036.60,20795.65,21004.70,240.95,-133.50
285,2021-09-07,21055.75,21094.45,20830.75,20934.50,263.70,121.25
286,2021-09-06,21104.10,21242.90,20943.20,21008.55,299.70,95.55
